UT,PT,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,PM
WOS:000431899900003,J,"Ahmed, Imtiaj; Harjunen, Ville; Jacucci, Giulio; Ravaja, Niklas; Spape, Michiel M.",NA,NA,NA,NA,NA,NA,NA,"Total Immersion: Designing for Affective Symbiosis in a Virtual Reality Game with Haptics, Biosensors, and Emotive Agents",NA,NA,NA,NA,NA,NA,NA,Lecture Notes in Computer Science,NA,NA,NA,9961,NA,NA,NA,23,37,NA,10.1007/978-3-319-57753-1_3,NA,NA,2017,2017,NA,NA,NA,NA,NA,5th International Workshop on Symbiotic Interaction (Symbiotic),"SEP 29-30, 2016","Univ Padua, Dept Gen Psychol; MindSee Project","Padua, ITALY",0,NA,NA,NA,NA,NA,NA,NA
WOS:000428903600009,J,"Krishna, Anand; Strack, Fritz",NA,NA,NA,NA,NA,NA,NA,Reflection and Impulse as Determinants of Human Behavior,NA,NA,NA,NA,NA,NA,NA,Knowledge and Space,NA,NA,NA,9,NA,NA,NA,145,167,NA,10.1007/978-3-319-44588-5_9,NA,NA,2017,2017,NA,NA,NA,NA,NA,9th Symposium on Knowledge and Action,"JUN 16-19, 2010",NA,"Heidelberg, GERMANY",9,NA,NA,NA,NA,NA,NA,NA
WOS:000427262400098,J,"Winkle, Katie; Bremner, Paul",NA,NA,NA,NA,NA,NA,NA,Investigating the Real World Impact of Emotion Portrayal through Robot Voice and Motion,NA,NA,NA,NA,NA,NA,NA,IEEE RO-MAN,NA,NA,NA,NA,NA,NA,NA,627,634,NA,NA,NA,NA,2017,2017,NA,NA,NA,NA,NA,26th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),"AUG 28-SEP 01, 2017","Inst Elect & Elect Engineers; IEEE Robot & Automat Soc; Robot Soc Japan; Korean Robot Soc; Univ Coimbra, Inst Syst & Robot","Lisbon, PORTUGAL",1,NA,NA,NA,NA,NA,NA,NA
WOS:000417718300002,J,"Morera, Yurena; Leon, Jose A.; Escudero, Inmaculada; de Vega, Manuel",NA,NA,NA,NA,NA,NA,NA,Do Causal and Concessive Connectives Guide Emotional Expectancies in Comprehension? A Double-Task Paradigm Using Emotional Icons,NA,NA,NA,NA,NA,NA,NA,DISCOURSE PROCESSES,NA,NA,NA,54,8,NA,NA,583,598,NA,10.1080/0163853X.2015.1137445,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
WOS:000416311200012,J,"Wiers, Reinout W.; Gladwin, Thomas E.",NA,NA,NA,NA,NA,NA,NA,REFLECTIVE AND IMPULSIVE PROCESSES IN ADDICTION AND THE ROLE OF MOTIVATION,NA,NA,NA,NA,NA,NA,NA,REFLECTIVE AND IMPULSIVE DETERMINANTS OF HUMAN BEHAVIOR,NA,NA,NA,NA,NA,NA,NA,173,188,NA,NA,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
WOS:000416034800002,J,"Jeon, Myounghoon",NA,NA,NA,NA,NA,NA,NA,"Emotions and Affect in Human Factors and Human-Computer Interaction: Taxonomy, Theories, Approaches, and Methods",NA,NA,NA,NA,NA,NA,NA,EMOTIONS AND AFFECT IN HUMAN FACTORS AND HUMAN-COMPUTER INTERACTION,NA,NA,NA,NA,NA,NA,NA,3,26,NA,10.1016/B978-0-12-801851-4.00001-X,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
WOS:000404588700006,J,"Neumeier, Lena M.; Brook, Libby; Ditchburn, Graeme; Sckopke, Philipp",NA,NA,NA,NA,NA,NA,NA,Delivering your daily dose of well-being to the workplace: a randomized controlled trial of an online well-being programme for employees,NA,NA,NA,NA,NA,NA,NA,EUROPEAN JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY,NA,NA,NA,26,4,NA,NA,555,573,NA,10.1080/1359432X.2017.1320281,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
WOS:000404434400003,J,"Van Havermaet, Lisa R.; Wurm, Lee H.",NA,NA,NA,NA,NA,NA,NA,"Effects of Danger, Usefulness, and Body-Object Interaction in picture naming",NA,NA,NA,NA,NA,NA,NA,MENTAL LEXICON,NA,NA,NA,12,1,NA,NA,51,70,NA,10.1075/ml.12.1.03van,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000402935600004,J,"Wray, Christopher",NA,NA,NA,NA,NA,NA,NA,A proposed new psychological model for judgement and decision-making Integrating the tri-partite model with hemispheric difference,NA,NA,NA,NA,NA,NA,NA,LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,NA,NA,NA,38,4,NA,NA,549,563,NA,10.1108/LODJ-06-2015-0120,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000401656100002,J,"Raue, Martina; Streicher, Bernhard; Lermer, Eva; Frey, Dieter",NA,NA,NA,NA,NA,NA,NA,Being active when judging risks: bodily states interfere with accurate risk analysis,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF RISK RESEARCH,NA,NA,NA,20,4,NA,NA,445,462,NA,10.1080/13669877.2015.1057206,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
WOS:000400943600002,J,"Pozo, Juan-Ignacio",NA,NA,NA,NA,NA,NA,NA,Learning beyond the body: from embodied representations to explicitation mediated by external representations,NA,NA,NA,NA,NA,NA,NA,INFANCIA Y APRENDIZAJE,NA,NA,NA,40,2,NA,NA,219,276,NA,10.1080/02103702.2017.1306942,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
WOS:000401069200005,J,"Otterbring, Tobias",NA,NA,NA,NA,NA,NA,NA,Smile for a while: the effect of employee-displayed smiling on customer affect and satisfaction,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF SERVICE MANAGEMENT,NA,NA,NA,28,2,NA,NA,284,304,NA,10.1108/JOSM-11-2015-0372,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
WOS:000399503200012,J,"Lewis, Michael B.; Dunn, Emily",NA,NA,NA,NA,NA,NA,NA,Instructions to mimic improve facial emotion recognition in people with sub-clinical autism traits,NA,NA,NA,NA,NA,NA,NA,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,NA,NA,NA,70,11,NA,NA,2357,2370,NA,10.1080/17470218.2016.1238950,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
WOS:000395747500005,J,"Famelart, Nawelle; Guidetti, Michele",NA,NA,NA,NA,NA,NA,NA,The effect of laughter expression modulation on emotional experience in 4 to 10 year-old children,NA,NA,NA,NA,NA,NA,NA,EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,NA,NA,NA,14,3,NA,NA,311,323,NA,10.1080/17405629.2016.1201474,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
WOS:000396403400004,J,"Shim, Minjung; Johnson, R. Burke; Gasson, Susan; Goodill, Sherry; Jermyn, Richard; Bradt, Joke",NA,NA,NA,NA,NA,NA,NA,A model of dance/movement therapy for resilience-building in people living with chronic pain,NA,NA,NA,NA,NA,NA,NA,EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE,NA,NA,NA,9,NA,NA,NA,27,40,NA,10.1016/j.eujim.2017.01.011,NA,NA,17-Jan,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
WOS:000445884900010,B,"Landau, MJ",NA,NA,NA,NA,NA,NA,NA,Conceptual Metaphor in Social Psychology: The Poetics of Everyday Life,NA,NA,NA,NA,NA,NA,NA,Essays in Social Psychology,NA,NA,NA,NA,NA,NA,NA,1,233,NA,NA,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
WOS:000449485000014,J,"Ravenscroft, Ian",NA,NA,NA,NA,NA,NA,NA,EMPATHY AND KNOWING WHAT IT'S LIKE,NA,NA,NA,NA,NA,NA,NA,Routledge Handbooks in Philosophy,NA,NA,NA,NA,NA,NA,NA,148,157,NA,NA,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000467322900010,J,"Whitaker, Elizabeth D.","Whitaker, ED",NA,NA,NA,NA,NA,NA,"SAVAGE EMPATHY Sources of competitiveness and cooperativeness, greed and generosity",NA,NA,NA,NA,NA,NA,NA,"TROUBLE WITH HUMAN NATURE: HEALTH, CONFLICT, AND DIFFERENCE IN BIOCULTURAL PERSPECTIVE",NA,NA,NA,NA,NA,NA,NA,219,241,NA,NA,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000387259500002,J,"Topolinski, Sascha; Boecker, Lea; Erle, Thorsten M.; Bakhtiari, Giti; Pecher, Diane",NA,NA,NA,NA,NA,NA,NA,Matching between oral inward-outward movements of object names and oral movements associated with denoted objects,NA,NA,NA,NA,NA,NA,NA,COGNITION & EMOTION,NA,NA,NA,31,1,NA,NA,3,18,NA,10.1080/02699931.2015.1073692,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
WOS:000392754300030,J,"Pandolfi, Elisa; Sacripante, Riccardo; Cardini, Flavia",NA,NA,NA,NA,NA,NA,NA,Food-Induced Emotional Resonance Improves Emotion Recognition,NA,NA,NA,NA,NA,NA,NA,PLOS ONE,NA,NA,NA,11,12,NA,NA,NA,NA,e0167462,10.1371/journal.pone.0167462,NA,NA,DEC 14 2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
WOS:000390915800009,J,"Lee, Spike W. S.",NA,NA,NA,NA,NA,NA,NA,Multimodal priming of abstract constructs,NA,NA,NA,NA,NA,NA,NA,CURRENT OPINION IN PSYCHOLOGY,NA,NA,NA,12,NA,NA,NA,37,44,NA,10.1016/j.copsyc.2016.04.016,NA,NA,16-Dec,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
WOS:000389698900004,J,"Kyung, Ellie J.; Thomas, Manoj",NA,NA,NA,NA,NA,NA,NA,When Remembering Disrupts Knowing: Blocking Implicit Price Memory,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF MARKETING RESEARCH,NA,NA,NA,53,6,NA,NA,937,953,NA,10.1509/jmr.14.0335,NA,NA,16-Dec,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
WOS:000388617100011,J,"Epstein, Nurith; Brendel, Thomas; Hege, Inga; Ouellette, Diana L.; Schmidmaier, Ralf; Kiesewetter, Jan",NA,NA,NA,NA,NA,NA,NA,The power of the pen: how to make physicians more friendly and patients more attractive,NA,NA,NA,NA,NA,NA,NA,MEDICAL EDUCATION,NA,NA,NA,50,12,NA,NA,1214,1218,NA,10.1111/medu.13002,NA,NA,16-Dec,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000446436800014,J,"Acolin, Jessica",NA,NA,NA,NA,NA,NA,NA,The Mind-Body Connection in Dance/Movement Therapy: Theory and Empirical Support,NA,NA,NA,NA,NA,NA,NA,AMERICAN JOURNAL OF DANCE THERAPY,NA,NA,NA,38,2,NA,NA,311,333,NA,10.1007/s10465-016-9222-4,NA,NA,16-Dec,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
WOS:000389721300014,J,"Wagenmakers, E. -J.; Beek, Titia; Dijkhoff, Laura; Gronau, Quentin F.; Acosta, A.; Adams, R. B., Jr.; Albohn, D. N.; Allard, E. S.; Benning, S. D.; Blouin-Hudon, E. -M.; Bulnes, L. C.; Caldwell, T. L.; Calin-Jageman, R. J.; Capaldi, C. A.; Carfagno, N. S.; Chasten, K. T.; Cleeremans, A.; Connell, L.; DeCicco, J. M.; Dijkstra, K.; Fischer, A. H.; Foroni, F.; Hess, U.; Holmes, K. J.; Jones, J. L. H.; Klein, O.; Koch, C.; Korb, S.; Lewinski, P.; Liao, J. D.; Lund, S.; Lupianez, J.; Lynott, D.; Nance, C. N.; Oosterwijk, S.; Ozdogru, A. A.; Pacheco-Unguetti, A. P.; Pearson, B.; Powis, C.; Riding, S.; Roberts, T. -A.; Rumiati, R. I.; Senden, M.; Shea-Shumsky, N. B.; Sobocko, K.; Soto, J. A.; Steiner, T. G.; Talarico, J. M.; van Allen, Z. M.; Vandekerckhove, M.; Wainwright, B.; Wayand, J. F.; Zeelenberg, R.; Zetzer, E. E.; Zwaan, R. A.",NA,NA,NA,NA,NA,NA,NA,"Registered Replication Report: Strack, Martin, & Stepper (1988)",NA,NA,NA,NA,NA,NA,NA,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,NA,NA,NA,11,6,NA,NA,917,928,NA,10.1177/1745691616674458,NA,NA,16-Nov,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA
WOS:000385876300001,J,"Chen, Xuqian; Wang, Guixiang; Liang, Yuchan",NA,NA,NA,NA,NA,NA,NA,The Common Element Effect of Abstract-to-Abstract Mapping in Language Processing,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,7,NA,NA,NA,NA,NA,1623,10.3389/fpsyg.2016.01623,NA,NA,OCT 24 2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000391774100002,J,"Kalanthroff, Eyal; Abramovitch, Amitai; Steinman, Shari A.; Abramowitz, Jonathan S.; Simpson, Helen B.",NA,NA,NA,NA,NA,NA,NA,The chicken or the egg: What drives OCD?,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF OBSESSIVE-COMPULSIVE AND RELATED DISORDERS,NA,NA,NA,11,NA,NA,NA,9,12,NA,10.1016/j.jocrd.2016.07.005,NA,NA,16-Oct,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
WOS:000384863800033,J,"Carlson, Emily; Burger, Birgitta; London, Justin; Thompson, Marc R.; Toiviainen, Petri",NA,NA,NA,NA,NA,NA,NA,Conscientiousness and Extraversion relate to responsiveness to tempo in dance,NA,NA,NA,NA,NA,NA,NA,HUMAN MOVEMENT SCIENCE,NA,NA,NA,49,NA,NA,NA,315,325,NA,10.1016/j.humov.2016.08.006,NA,NA,16-Oct,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
WOS:000384587600012,J,"Kaspar, Kai; Jurisch, Anna; Schneider, Maren",NA,NA,NA,NA,NA,NA,NA,Embodied Cognition and Humor: The Impact of Weight Sensations on Humor Experience and the Moderating Role of Gender,NA,NA,NA,NA,NA,NA,NA,CURRENT PSYCHOLOGY,NA,NA,NA,35,3,NA,NA,377,385,NA,10.1007/s12144-015-9304-3,NA,NA,16-Sep,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
WOS:000383936500010,J,"Zhang, Xiaobin; Zuo, Bin; Erskine, Kendall; Hu, Tao",NA,NA,NA,NA,NA,NA,NA,Feeling light or dark? Emotions affect perception of brightness,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,NA,NA,NA,47,NA,NA,NA,107,111,NA,10.1016/j.jenvp.2016.05.007,NA,NA,16-Sep,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
WOS:000382347100015,J,"Finzi, Eric; Rosenthal, Norman E.",NA,NA,NA,NA,NA,NA,NA,Emotional proprioception: Treatment of depression with afferent facial feedback,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF PSYCHIATRIC RESEARCH,NA,NA,NA,80,NA,NA,NA,93,96,NA,10.1016/j.jpsychires.2016.06.009,NA,NA,16-Sep,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
WOS:000382705900002,J,"Garrison, Katie E.; Tang, David; Schmeichel, Brandon J.",NA,NA,NA,NA,NA,NA,NA,Embodying Power: A Preregistered Replication and Extension of the Power Pose Effect,NA,NA,NA,NA,NA,NA,NA,SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,NA,NA,NA,7,7,NA,NA,623,630,NA,10.1177/1948550616652209,NA,NA,16-Sep,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
WOS:000381166900014,J,"Stroebe, Wolfgang",NA,NA,NA,NA,NA,NA,NA,Are most published social psychological findings false?,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,NA,NA,NA,66,NA,NA,NA,134,144,NA,10.1016/j.jesp.2015.09.017,NA,NA,16-Sep,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA
WOS:000383915900007,J,"Trippas, Dries; Handley, Simon J.; Verde, Michael F.; Morsanyi, Kinga",NA,NA,NA,NA,NA,NA,NA,Logic Brightens My Day: Evidence for Implicit Sensitivity to Logical Validity,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,NA,NA,NA,42,9,NA,NA,1448,1457,NA,10.1037/xlm0000248,NA,NA,16-Sep,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
WOS:000382289700001,J,"Fitzpatrick, Paula; Frazier, Jean A.; Cochran, David M.; Mitchell, Teresa; Coleman, Caitlin; Schmidt, R. C.",NA,NA,NA,NA,NA,NA,NA,Impairments of Social Motor Synchrony Evident in Autism Spectrum Disorder,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,7,NA,NA,NA,NA,NA,1323,10.3389/fpsyg.2016.01323,NA,NA,AUG 31 2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
WOS:000381275700001,J,"Lewinski, Peter; Fransen, Marieke L.; Tan, Ed S.",NA,NA,NA,NA,NA,NA,NA,Embodied Resistance to Persuasion in Advertising,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,7,NA,NA,NA,NA,NA,1202,10.3389/fpsyg.2016.01202,NA,NA,AUG 15 2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000379370900033,J,"Sevos, Jessica; Grosselin, Anne; Fedotova, Tatyana; Massoubre, Catherine",NA,NA,NA,NA,NA,NA,NA,Behavioral predispositions to approach or avoid emotional words in schizophrenia,NA,NA,NA,NA,NA,NA,NA,PSYCHIATRY RESEARCH,NA,NA,NA,241,NA,NA,NA,195,200,NA,10.1016/j.psychres.2016.04.112,NA,NA,JUL 30 2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000384345300001,J,"Schillaci, Guido; Hafner, Verona V.; Lara, Bruno",NA,NA,NA,NA,NA,NA,NA,"Exploration Behaviors, Body Representations, and Simulation Processes for the Development of Cognition in Artificial Agents",NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN ROBOTICS AND AI,NA,NA,NA,3,NA,NA,NA,NA,NA,UNSP 39,10.3389/frobt.2016.00039,NA,NA,JUN 30 2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
WOS:000378611600004,J,"Szuster, Anna; Wojnarowska, Agnieszka",NA,NA,NA,NA,NA,NA,NA,The Influence of Mimicry on the Reduction of Infra-Humanization,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,7,NA,NA,NA,NA,NA,975,10.3389/fpsyg.2016.00975,NA,NA,JUN 28 2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000378306800001,J,"Havas, David A.; Chapp, Christopher B.",NA,NA,NA,NA,NA,NA,NA,Language for Winning Hearts and Minds: Verb Aspect in US Presidential Campaign Speeches for Engaging Emotion,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,7,NA,NA,NA,NA,NA,899,10.3389/fpsyg.2016.00899,NA,NA,JUN 22 2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000395117300003,J,"Bailey, Jakki O.; Bailenson, Jeremy N.; Casasanto, Daniel",NA,NA,NA,NA,NA,NA,NA,When Does Virtual Embodiment Change Our Minds?,NA,NA,NA,NA,NA,NA,NA,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,NA,NA,NA,25,3,NA,NA,222,233,NA,10.1162/PRES_a_00263,NA,NA,SUM 2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
WOS:000374549300001,J,"Hakonsson, Dorthe Dojbak; Eskildsen, Jacob Kjaer; Argote, Linda; Monster, Dan; Burton, Richard M.; Obel, Borge",NA,NA,NA,NA,NA,NA,NA,Exploration versus exploitation: Emotions and performance as antecedents and consequences of team decisions,NA,NA,NA,NA,NA,NA,NA,STRATEGIC MANAGEMENT JOURNAL,NA,NA,NA,37,6,NA,NA,985,1001,NA,10.1002/smj.2380,NA,NA,16-Jun,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
WOS:000375630400008,J,"Ma, Ke; Sellaro, Roberta; Lippelt, Dominique Patrick; Hommel, Bernhard",NA,NA,NA,NA,NA,NA,NA,Mood migration: How enfacing a smile makes you happier,NA,NA,NA,NA,NA,NA,NA,COGNITION,NA,NA,NA,151,NA,NA,NA,52,62,NA,10.1016/j.cognition.2016.02.018,NA,NA,16-Jun,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
WOS:000374841600006,J,"Kniffin, Kevin M.; Shimizu, Mitsuru",NA,NA,NA,NA,NA,NA,NA,Sounds that make you smile and share: a phonetic key to prosociality and engagement,NA,NA,NA,NA,NA,NA,NA,MARKETING LETTERS,NA,NA,NA,27,2,NA,NA,273,283,NA,10.1007/s11002-014-9328-8,NA,NA,16-Jun,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000373653400003,J,"Wang, Yufeng; Zhang, Dongjun; Zou, Feng; Li, Hao; Luo, Yanyan; Zhang, Meng; Liu, Yijun",NA,NA,NA,NA,NA,NA,NA,Gender differences in emotion experience perception under different facial muscle manipulations,NA,NA,NA,NA,NA,NA,NA,CONSCIOUSNESS AND COGNITION,NA,NA,NA,41,NA,NA,NA,24,30,NA,10.1016/j.concog.2016.01.010,NA,NA,16-Apr,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000369877000001,J,"Geangu, Elena; Quadrelli, Ermanno; Conte, Stefania; Croci, Emanuela; Turati, Chiara",NA,NA,NA,NA,NA,NA,NA,Three-year-olds' rapid facial electromyographic responses to emotional facial expressions and body postures,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,NA,NA,NA,144,NA,NA,NA,1,14,NA,10.1016/j.jecp.2015.11.001,NA,NA,16-Apr,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA
WOS:000443481400001,J,"Vastfjall, Daniel; Slovic, Paul; Burns, William J.; Erlandsson, Arvid; Koppel, Lina; Asutay, Erkin; Tinghog, Gustav",NA,NA,NA,NA,NA,NA,NA,The Arithmetic of Emotion: Integration of Incidental and Integral Affect in Judgments and Decisions,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,7,NA,NA,NA,NA,NA,325,10.3389/fpsyg.2016.00325,NA,NA,MAR 8 2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
WOS:000376443400004,J,"Topolinski, Sascha; Bakhtiari, Giti",NA,NA,NA,NA,NA,NA,NA,Sequential Approach-Avoidance Movements The Case of Inward and Outward Articulation,NA,NA,NA,NA,NA,NA,NA,SOCIAL PSYCHOLOGY,NA,NA,NA,47,2,NA,NA,98,117,NA,10.1027/1864-9335/a000263,NA,NA,16-Mar,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
WOS:000372503400011,J,"Kelly, Janice R.; Iannone, Nicole E.; McCarty, Megan K.",NA,NA,NA,NA,NA,NA,NA,Emotional contagion of anger is automatic: An evolutionary explanation,NA,NA,NA,NA,NA,NA,NA,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,NA,NA,NA,55,1,NA,NA,182,191,NA,10.1111/bjso.12134,NA,NA,16-Mar,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
WOS:000371933900018,J,"Whissell, Cynthia",NA,NA,NA,NA,NA,NA,NA,An Episodic Plot and an Unhappy Ending: What Emotional Sound Patterns Reveal About the Structure of Coleridge's Rime of the Ancyent Marinere,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGICAL REPORTS,NA,NA,NA,118,1,NA,NA,266,276,NA,10.1177/0033294115626824,NA,NA,16-Feb,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000371651400023,J,"McGettigan, Carolyn",NA,NA,NA,NA,NA,NA,NA,"Commentary on ""Neural correlates of mirth and laughter: A direct electrical cortical stimulation study"" by Yamao and colleagues",NA,NA,NA,NA,NA,NA,NA,CORTEX,NA,NA,NA,75,NA,NA,NA,241,243,NA,10.1016/j.cortex.2015.01.008,NA,NA,16-Feb,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
WOS:000371651400024,J,"Yamao, Yukihiro; Kunieda, Takeharu; Matsumoto, Riki",NA,NA,NA,NA,NA,NA,NA,"Reply to Commentary on ""Neural correlates of mirth and laughter: A direct electrical cortical stimulation study""",NA,NA,NA,NA,NA,NA,NA,CORTEX,NA,NA,NA,75,NA,NA,NA,244,246,NA,10.1016/j.cortex.2015.03.019,NA,NA,16-Feb,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
